Part;Quantity;Proposed Sourcing?
PCBs;2;https://jlcpcb.com
KeySwitches;58;https://mechanicalkeyboards.com/products/cherry-mx2a-brown-55g-tactile?variant=48020838351148
Keycaps;58;https://www.amazon.com/YMDK-Profile-Keyset-Mechanical-Keyboard/dp/B07S18VCDN?th=1
1N4148 Diodes;58;https://www.digikey.com/en/products/detail/onsemi/1N4148/458603
TRS Jacks;2;https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ1-3523N/738689
TRS Cables;1;https://www.mycablemart.com/store/cart.php?m=product_detail&p=9040
Orpheus Picos;2;HQ?
M3x6mm Screws;8;?
M3x5mx4mm Headset Inserts;8;?
Case;4 parts;Printing Legion?
